Country,Continent,population_2023,Rank,Avg_IQ,Literacy_Rate,Nobel_Prices,HDI_2021,MYS_2021,GNI_2021
Uganda,Africa,48582334,135.0,76.42,0.74,0.0,0.525,5.7,2181.0
Saudi Arabia,Asia,36947025,136.0,76.36,0.95,0.0,0.875,11.3,46112.0
Egypt,Africa,112716599,137.0,76.32,0.76,4.0,0.731,9.6,11732.0
India,Asia,1428627663,138.0,76.24,0.72,12.0,0.633,6.7,6590.0
Algeria,Africa,45606481,139.0,76.0,0.8,2.0,0.745,8.1,10800.0
Kenya,Africa,55100587,140.0,75.2,0.78,1.0,0.575,6.7,4474.0
Angola,Africa,36684203,141.0,75.1,0.71,0.0,0.586,5.4,5466.0
Jamaica,Central America,2825544,142.0,75.08,0.89,0.0,0.709,9.2,8834.0
Tanzania,Africa,67438106,143.0,74.95,0.8,1.0,0.549,6.4,2664.0
Syria,Asia,23227014,144.0,74.41,0.86,0.0,0.577,5.1,4192.0
Bangladesh,Asia,172954319,145.0,74.33,0.61,2.0,0.661,7.4,5472.0
Zimbabwe,Africa,16665409,146.0,74.01,0.87,0.0,0.593,8.7,3810.0
Burkina Faso,Africa,23251485,147.0,73.8,0.38,0.0,0.449,2.1,2118.0
Saint Lucia,Central America,180.251,148.0,73.68,0.9,2.0,0.715,8.5,12048.0
Mozambique,Africa,33897354,149.0,72.5,0.59,0.0,0.446,3.2,1198.0
Burundi,Africa,13238559,150.0,72.09,0.85,0.0,0.426,3.1,732.0
Niger,Africa,27202843,151.0,70.82,0.19,0.0,0.4,2.1,1240.0
Antigua and Barbuda,Central America,94.298,152.0,70.48,0.99,0.0,0.788,9.3,16792.0
Rwanda,Africa,14094683,153.0,69.95,0.71,0.0,0.534,4.4,2210.0
Benin,Africa,13712828,154.0,69.71,0.38,0.0,0.525,4.3,3409.0
Malawi,Africa,20931751,155.0,69.7,0.66,0.0,0.512,4.5,1466.0
El Salvador,Central America,6364943,156.0,69.63,0.88,0.0,0.675,7.2,8296.0
Botswana,Africa,2675353,157.0,69.45,0.88,0.0,0.693,10.3,16198.0
Lesotho,Africa,2330318,158.0,68.87,0.79,0.0,0.514,6.0,2700.0
South Africa,Africa,60414495,159.0,68.87,0.95,11.0,0.713,11.4,12948.0
Eswatini,Africa,1210822,160.0,68.87,0.87,0.0,0.597,5.6,7679.0
Eritrea,Africa,3748902,161.0,68.77,0.74,0.0,0.492,4.9,1729.0
Saint Helena,Africa,6.115,162.0,68.74,0.97,0.0,0.685018403645911,8.721936976111142,8602.793045726132
Zambia,Africa,20569738,163.0,68.43,0.85,0.0,0.565,7.2,3218.0
Ethiopia,Africa,126527060,164.0,68.42,0.49,1.0,0.498,3.2,2361.0
Djibouti,Africa,1136455,165.0,68.41,0.68,0.0,0.509,4.1,5025.0
Cameroon,Africa,28647293,166.0,67.76,0.75,0.0,0.576,6.2,3621.0
Nigeria,Africa,223804632,167.0,67.76,0.6,1.0,0.535,7.2,4790.0
Somalia,Africa,18143379,168.0,67.67,0.38,0.0,0.4145039844510536,2.204779823493078,-5989.692899800582
Morocco,Africa,37840044,169.0,67.03,0.72,1.0,0.683,5.9,7303.0
Namibia,Africa,2604172,170.0,66.19,0.91,0.0,0.615,7.2,8634.0
Dominica,Central America,73.161,171.0,66.03,0.94,0.0,0.72,8.1,11488.0
Sao Tome and Principe,Africa,231.856,172.0,65.22,0.92,0.0,0.618,6.2,4021.0
Congo,Africa,6106869,173.0,64.92,0.77,0.0,0.571,6.2,2889.0
Saint Vincent and the Grenadines,Central America,103.699,174.0,63.42,0.96,0.0,0.751,10.8,11961.0
Gabon,Africa,2436567,175.0,62.97,0.83,0.0,0.706,9.4,13367.0
Congo Republic,Africa,102262809,176.0,62.97,0.79,0.0,0.479,7.0,1076.0
Yemen,Asia,34449825,177.0,62.86,0.7,1.0,0.455,3.2,1314.0
Belize,Central America,410.825,178.0,62.55,0.83,0.0,0.683,8.8,6309.0
Central African Republic,Africa,5742316,179.0,62.55,0.37,0.0,0.404,4.3,966.0
Honduras,Central America,10593798,180.0,62.16,0.88,0.0,0.621,7.1,5298.0
Togo,Africa,9053799,181.0,59.83,0.67,0.0,0.539,5.0,2167.0
Mali,Africa,23293699,182.0,59.76,0.33,0.0,0.428,2.3,2133.0
Mauritania,Africa,4862989,183.0,59.76,0.52,0.0,0.556,4.9,5075.0
South Sudan,Africa,11088796,184.0,58.61,0.32,0.0,0.385,5.7,768.0
Ghana,Africa,34121985,185.0,58.16,0.77,1.0,0.632,8.3,5745.0
Costa do Marfim,Africa,28873034,186.0,58.16,0.43,0.0,0.4321528263144826,2.8333350341316956,-6430.550111237106
Guinea,Africa,14190612,187.0,53.48,0.3,0.0,0.465,2.2,2481.0
Nicaragua,Central America,7046311,188.0,52.69,0.82,0.0,0.667,7.1,5625.0
Gambia,Africa,2773168,189.0,52.68,0.58,0.0,0.5,4.6,2172.0
Guatemala,Central America,18092026,190.0,47.72,0.79,2.0,0.627,5.7,8723.0
Liberia,Africa,5418377,191.0,45.07,0.48,2.0,0.481,5.1,1289.0
Sierra Leone,Africa,8791092,192.0,45.07,0.48,0.0,0.477,4.6,1622.0
Nepal,Asia,30896590,193.0,42.99,0.65,0.0,0.602,5.1,3877.0
